Homograph	Reading	Type
井	ショウ	on
井	セイ	on
井	い	kun
井	いげた	kun
井	きよ	personal name
丹	タン	on
丹	あか	kun
丹	に	kun
丹	まごころ	kun
丹	あきら	personal name
丹	まこと	personal name
匹	ヒツ	on
匹	ヒキ	on
匹	ひき	kun
匹	たぐ	kun
斤	キン	on
斤	おの	kun
幻	ゲン	on
幻	まぼろし	kun
幻	まど	kun
孔	コウ	on
孔	ク	on
孔	あな	kun
孔	はなは	kun
孔	みち	personal name
孔	よし	personal name
冗	ジョウ	on
冗	むだ	kun
双	ソウ	on
双	ふた	kun
双	たぐい	kun
双	なら	kun
双	もろ	kun, personal name
双	とも	personal name
双	ふ	personal name
斗	ト	on
斗	トウ	on
斗	ひしゃく	kun
斗	ます	kun, personal name
斗	け	personal name
斗	はかる	personal name
斗	はるか	personal name
斗	ほし	personal name
乏	ボウ	on
乏	ホウ	on
乏	とぼ	kun
升	ショウ	on
升	ます	kun
升	のぼ	kun
弔	チョウ	on
弔	とむら	kun
屯	トン	on
屯	チュン	on
屯	たむろ	kun
屯	なや	kun
厄	ヤク	on
厄	アク	on
厄	くる	kun
厄	わざわ	kun
牙	ゲ	on
牙	ガ	on
牙	きば	kun
牙	さいとり	kun
牙	は	kun
勾	コウ	on
勾	とら	kun
勾	ま	kun
勾	にお	personal name
勾	まがり	personal name
爪	ソウ	on
爪	つま	kun
爪	つめ	kun
匂	にお	kun, personal name
匂	かおる	personal name
片	ヘン	on
片	かた	kun
片	きれ	kun
片	ひら	kun
片	ペンス	kun
玉	ギョク	on
玉	ゴク	on
玉	たま	kun
玉	きよ	personal name
玉	た	personal name
左	サ	on
左	ひだり	kun
左	すけ	personal name
四	シ	on
四	よ	kun
四	よっ	kun
四	よん	kun
四	ひろ	personal name
四	もち	personal name
出	シュツ	on
出	スイ	on
出	だ	kun
出	で	kun
出	いだ	kun
出	い	kun
出	いず	personal name
出	いずる	personal name
正	ショウ	on
正	セイ	on
正	ただ	kun
正	まさ	kun
正	あきら	personal name
正	かみ	personal name
正	ただし	personal name
正	なお	personal name
正	まさし	personal name
正	よし	personal name
生	ショウ	on
生	セイ	on
生	い	kun, personal name
生	う	kun, personal name
生	なま	kun
生	は	kun
生	お	kun, personal name
生	き	kun
生	いのち	kun
生	うぶ	kun
生	な	kun
生	あり	personal name
生	いき	personal name
生	いく	personal name
生	うまる	personal name
生	おき	personal name
生	すすむ	personal name
生	たか	personal name
生	なり	personal name
生	のう	personal name
生	のり	personal name
生	ふ	personal name
生	ふゆ	personal name
生	ぶ	personal name
生	み	personal name
生	よ	personal name
石	シャク	on
石	セキ	on
石	コク	on
石	ジャク	on
石	いし	kun
田	デン	on
田	た	kun
田	か	kun
白	ハク	on
白	ビャク	on
白	しら	kun
白	しろ	kun
白	あき	kun, personal name
白	せりふ	kun
白	もう	kun
白	あきら	personal name
白	きよ	personal name
本	ホン	on
本	もと	kun
目	モク	on
目	ボク	on
目	め	kun
目	ま	kun
目	かなめ	kun
目	まなこ	kun
目	み	personal name
右	ウ	on
右	ユウ	on
右	みぎ	kun
右	たす	kun
右	あき	personal name
右	すけ	personal name
右	たか	personal name
右	たすく	personal name
右	ゆ	personal name
立	リツ	on
立	リュウ	on
立	た	kun
立	リットル	kun
立	たか	personal name
立	たかし	personal name
立	たち	personal name
立	たつ	personal name
立	たつる	personal name
立	たて	personal name
立	たる	personal name
立	はる	personal name
外	ガイ	on
外	ゲ	on
外	ウイ	on
外	そと	kun
外	はず	kun
外	ほか	kun
外	と	kun
兄	キョウ	on
兄	ケイ	on
兄	あに	kun
兄	え	kun
古	コ	on
古	ふる	kun
古	いにしえ	kun
古	たか	personal name
古	ひさ	personal name
広	コウ	on
広	ひろ	kun
広	 お	personal name
広	たけ	personal name
広	ひろし	personal name
矢	シ	on
矢	や	kun
矢	ただ	personal name
矢	ただし	personal name
矢	ちかう	personal name
矢	ちこう	personal name
矢	なお	personal name
矢	やはぎ	personal name
市	シ	on
市	いち	kun
市	ち	personal name
市	なが	personal name
市	まち	personal name
台	タイ	on
台	ダイ	on
台	イ	on
台	うてな	kun
台	しもべ	kun
冬	トウ	on
冬	ふゆ	kun
冬	かず	personal name
冬	と	personal name
冬	とし	personal name
半	ハン	on
半	なか	kun, personal name
半	なからい	personal name
母	ボ	on
母	ボウ	on
母	モ	on
母	はは	kun
北	ホク	on
北	ハイ	on
北	きた	kun
北	そむ	kun
北	に	kun
北	た	personal name
用	ヨウ	on
用	もち	kun, personal name
用	はたら	kun
用	もっ	kun
用	ちか	personal name
央	オウ	on
央	エイ	on
央	ヨウ	on
央	なか	kun, personal name
央	あきら	personal name
央	お	personal name
央	ちか	personal name
央	てる	personal name
央	ひさ	personal name
央	ひさし	personal name
央	ひろ	personal name
央	ひろし	personal name
去	キョ	on
去	コ	on
去	さ	kun
去	のぞ	kun
去	ゆ	kun
去	なる	personal name
号	ゴウ	on
号	コウ	on
号	さけ	kun
号	よびな	kun
皿	ベイ	on
皿	さら	kun
仕	シ	on
仕	ジ	on
仕	つか	kun
仕	つかまつ	kun
仕	まなぶ	personal name
写	シャ	on
写	うつ	kun
主	シュ	on
主	ス	on
主	おも	kun
主	ぬし	kun
主	あるじ	kun
主	つかさど	kun
主	かず	personal name
主	きみ	personal name
主	つかさ	personal name
主	もり	personal name
主	ゆき	personal name
申	シン	on
申	もう	kun
申	かさ	kun
申	さる	kun
申	しげる	personal name
申	のぶ	personal name
申	み	personal name
申	もち	personal name
世	セ	on
世	セイ	on
世	よ	kun
世	つぎ	personal name
世	つぐ	personal name
世	とき	personal name
世	とし	personal name
他	タ	on
他	ほか	kun
他	ひと	personal name
打	ダ	on
打	チョウ	on
打	テイ	on
打	う	kun
打	ダース	kun
打	ぶ	kun
代	タイ	on
代	ダイ	on
代	か	kun
代	よ	kun
代	しろ	kun
代	とし	personal name
代	のり	personal name
代	より	personal name
皮	ヒ	on
皮	かわ	kun
氷	ヒョウ	on
氷	こおり	kun
氷	ひ	kun
氷	こお	kun
平	ビョウ	on
平	ヘイ	on
平	ヒョウ	on
平	ヘン	on
平	たい	kun
平	ひら	kun
平	たいら	personal name
平	とし	personal name
平	なり	personal name
平	ひとし	personal name
由	ユ	on
由	ユウ	on
由	ユイ	on
由	よし	kun
由	なお	kun
由	よ	kun
由	ただ	personal name
由	ゆき	personal name
由	より	personal name
礼	レイ	on
礼	ライ	on
礼	うやま	kun
礼	のり	kun, personal name
礼	あき	personal name
礼	あきら	personal name
礼	あや	personal name
礼	うや	personal name
礼	かた	personal name
礼	なり	personal name
礼	ひろ	personal name
礼	ひろし	personal name
礼	まさ	personal name
礼	まさし	personal name
礼	みち	personal name
礼	ゆき	personal name
礼	よし	personal name
礼	れ	personal name
以	イ	on
以	もち	kun, personal name
以	もっ	kun
以	これ	personal name
以	さね	personal name
以	しげ	personal name
以	とも	personal name
以	のり	personal name
以	ゆき	personal name
以	より	personal name
加	カ	on
加	くわ	kun
加	ます	personal name
加	また	personal name
功	コウ	on
功	ク	on
功	いさお	kun, personal name
功	あう	personal name
功	あつ	personal name
功	いさ	personal name
功	いさおし	personal name
功	かた	personal name
功	かつ	personal name
功	こと	personal name
功	たか	personal name
功	つとむ	personal name
功	つとめ	personal name
功	なり	personal name
功	なる	personal name
功	のり	personal name
札	サツ	on
札	ふだ	kun
札	さね	kun
札	わかじに	kun
